node1,node2,interaction,distance,Log2(interaction + 1),p_value,betweenness_centrality_sum_normalized,degree_centrality_sum_normalized,interaction_normalized,total
b0018,b3399,24.013,1129065,4.644606196,0.0049,0.381637714,0.588235294,0,0.309038098
b4412,b3399,24.013,1129065,4.644606196,0.0049,0.381637714,0.588235294,0,0.309038098
b0259,b0704,24.0144,460568,4.644686943,0.0049,0.34147314,0.389705882,3.53E-07,0.380646434
b0259,b4514,24.0144,461363,4.644686943,0.0049,0.34147314,0.389705882,3.53E-07,0.380646434
b0260,b0704,24.0144,458921,4.644686943,0.0049,0.34147314,0.389705882,3.53E-07,0.380646434
b0260,b4514,24.0144,459716,4.644686943,0.0049,0.34147314,0.389705882,3.53E-07,0.380646434
b1469,b1500,24.017,39701,4.644836889,0.0049,0.119599052,0.397058824,1.01E-06,0.44500304
b4325,b4327,24.0173,1057,4.644854189,0.0049,0.063585532,0.102941176,1.08E-06,0.550042421
b4720,b4327,24.0173,702,4.644854189,0.0049,0.063585532,0.102941176,1.08E-06,0.550042421
b4721,b4327,24.0173,580,4.644854189,0.0049,0.063585532,0.102941176,1.08E-06,0.550042421
b4722,b4327,24.0173,381,4.644854189,0.0049,0.063585532,0.102941176,1.08E-06,0.550042421
b4326,b4327,24.0173,0,4.644854189,0.0049,0.063585532,0.102941176,1.08E-06,0.550042421
b0177,b0180,24.0186,1740,4.644929156,0.0049,0.024898933,0.088235294,1.41E-06,0.566060296
b1604,b1607,24.0197,2323,4.644992586,0.0049,0.01084898,0.110294118,1.69E-06,0.563657746
b1604,b1608,24.0197,2787,4.644992586,0.0049,0.01084898,0.110294118,1.69E-06,0.563657746
b1605,b1607,24.0197,755,4.644992586,0.0049,0.01084898,0.110294118,1.69E-06,0.563657746
b1605,b1608,24.0197,1219,4.644992586,0.0049,0.01084898,0.110294118,1.69E-06,0.563657746
b1702,b1706,24.0197,2695,4.644992586,0.0049,0.202360317,0.375,1.69E-06,0.42679258
b2217,b2218,24.0212,199,4.645079077,0.0049,0.053382988,0.080882353,2.07E-06,0.559721224
b2071,b2122,24.0295,57453,4.645557566,0.0049,0.377779902,0.551470588,4.16E-06,0.321226516
b2072,b2122,24.0295,56627,4.645557566,0.0049,0.377779902,0.551470588,4.16E-06,0.321226516
b2000,b2030,24.0301,27236,4.64559215,0.0049,0.20857791,0.316176471,4.31E-06,0.442575409
b1706,b1732,24.0359,22622,4.645926414,0.0049,0.210451085,0.367647059,5.77E-06,0.426572865
b3234,b3237,24.0366,2592,4.645966751,0.0049,0.082528773,0.161764706,5.95E-06,0.526714335
b3234,b3238,24.0366,3427,4.645966751,0.0049,0.082528773,0.161764706,5.95E-06,0.526714335
b2550,b2551,24.0425,197,4.646306689,0.0049,6.76E-06,0.007352941,7.43E-06,0.597795062
b1042,b1044,24.0495,511,4.646709902,0.0049,0.000541793,0.080882353,9.20E-06,0.575576435
b1042,b1045,24.0495,917,4.646709902,0.0049,0.000541793,0.080882353,9.20E-06,0.575576435
b1043,b1044,24.0495,120,4.646709902,0.0049,0.000541793,0.080882353,9.20E-06,0.575576435
b1043,b1045,24.0495,526,4.646709902,0.0049,0.000541793,0.080882353,9.20E-06,0.575576435
b1634,b2175,24.0544,555707,4.646992084,0.0049,0.085006072,0.161764706,1.04E-05,0.52597294
b2732,b2733,24.0573,286,4.647159063,0.0049,0.109394034,0.022058824,1.12E-05,0.560568608
b4502,b2175,24.064,4683,4.64754477,0.0049,0.087324148,0.125,1.29E-05,0.536307896
b4188,b4192,24.0695,2268,4.647861317,0.0049,0.020881124,0.058823529,1.42E-05,0.576094299
b4189,b4192,24.0695,1790,4.647861317,0.0049,0.020881124,0.058823529,1.42E-05,0.576094299
b4190,b4192,24.0695,859,4.647861317,0.0049,0.020881124,0.058823529,1.42E-05,0.576094299
b1494,b4748,24.076,57687,4.64823533,0.0049,0.096632834,0.205882353,1.59E-05,0.509251794
b1494,b1544,24.076,57869,4.64823533,0.0049,0.096632834,0.205882353,1.59E-05,0.509251794
b2030,b3816,24.0782,1898550,4.648361897,0.0049,0.204292549,0.294117647,1.64E-05,0.450483513
b2030,b3817,24.0782,1899543,4.648361897,0.0049,0.204292549,0.294117647,1.64E-05,0.450483513
b2030,b3818,24.0782,1899937,4.648361897,0.0049,0.204292549,0.294117647,1.64E-05,0.450483513
b2925,b3045,24.0866,115265,4.64884505,0.0049,0.26465325,0.220588235,1.85E-05,0.454434973
b2926,b3045,24.0866,113887,4.64884505,0.0049,0.26465325,0.220588235,1.85E-05,0.454434973
b2502,b2506,24.098,3669,4.649500499,0.0049,0.020820117,0.080882353,2.14E-05,0.569497827
b4615,b3769,24.0998,182520,4.649603963,0.0049,0.361793551,0.272058824,2.19E-05,0.409853037
b0742,b0817,24.1007,72793,4.649655693,0.0049,0.298680943,0.382352941,2.21E-05,0.395698674
b0742,b0818,24.1007,73257,4.649655693,0.0049,0.298680943,0.382352941,2.21E-05,0.395698674
b1471,b1594,24.1072,121629,4.650029241,0.0049,0.24060099,0.345588235,2.37E-05,0.424152727
b1471,b1595,24.1072,122984,4.650029241,0.0049,0.24060099,0.345588235,2.37E-05,0.424152727
b1211,b1233,24.1101,22579,4.650195869,0.0049,0.147779675,0.338235294,2.45E-05,0.454205296
b1212,b1233,24.1101,21746,4.650195869,0.0049,0.147779675,0.338235294,2.45E-05,0.454205296
b1213,b1233,24.1101,21357,4.650195869,0.0049,0.147779675,0.338235294,2.45E-05,0.454205296
b1932,b1978,24.1153,33858,4.650494603,0.0049,0.193865147,0.25,2.58E-05,0.466850767
b1179,b1183,24.1165,2759,4.650563533,0.0049,0.031031715,0.169117647,2.61E-05,0.539965624
b1180,b1183,24.1165,2028,4.650563533,0.0049,0.031031715,0.169117647,2.61E-05,0.539965624
b1181,b1183,24.1165,1490,4.650563533,0.0049,0.031031715,0.169117647,2.61E-05,0.539965624
b2386,b2393,24.1221,5147,4.650885162,0.0049,0.166476933,0.242647059,2.75E-05,0.477273799
b1871,b1873,24.124,2618,4.650994269,0.0049,1.18E-05,0.022058824,2.80E-05,0.593389991
b0827,b4186,24.1321,1092589,4.651459321,0.0049,0.19047732,0.330882353,3.00E-05,0.443604103
b0827,b4187,24.1321,1090880,4.651459321,0.0049,0.19047732,0.330882353,3.00E-05,0.443604103
b0828,b4186,24.1321,1094028,4.651459321,0.0049,0.19047732,0.330882353,3.00E-05,0.443604103
b0828,b4187,24.1321,1092319,4.651459321,0.0049,0.19047732,0.330882353,3.00E-05,0.443604103
b0645,b0707,24.1324,61582,4.651476542,0.0049,0.043810882,0.132352941,3.01E-05,0.547162888
b0645,b0708,24.1324,62088,4.651476542,0.0049,0.043810882,0.132352941,3.01E-05,0.547162888
b0178,b0183,24.1394,3525,4.651878312,0.0049,0.000605926,0.066176471,3.19E-05,0.579978021
b0179,b0183,24.1394,2496,4.651878312,0.0049,0.000605926,0.066176471,3.19E-05,0.579978021
b0018,b4348,24.1399,76940,4.651907006,0.0049,0.365975219,0.573529412,3.20E-05,0.318161402
