gene,cid
b0005,1
b0006,1
b0007,1
b0008,1
b0009,1
b0010,1
b0011,1
b0012,1
b0013,1
b0014,1
b0015,1
b0016,1
b0018,1
b4412,1
b0019,1
b0020,1
b0021,1
b0022,1
b0023,1
b0024,1
b0027,2
b0028,2
b0029,2
b0030,2
b0031,2
b0032,2
b0033,2
b0034,2
b0035,2
b0036,2
b0037,2
b0038,2
b0039,2
b0040,2
b0041,2
b0044,3
b0045,3
b0046,3
b0047,3
b0048,3
b0049,3
b0050,3
b0051,3
b0052,3
b0053,3
b0054,3
b0055,3
b0056,3
b0057,3
b0058,3
b0059,3
b0060,3
b0063,4
b0064,4
b0065,4
b0066,4
b0067,4
b0068,4
b0071,5
b0072,5
b0073,5
b0074,5
b0075,5
b0076,5
b4726,5
b0077,5
b0078,5
b0080,5
b0081,5
b0082,5
b0083,5
b0084,5
b0085,5
b0086,5
b0087,5
b0088,5
b0089,5
b0090,5
b0092,6
b0093,6
b0094,6
b0095,6
b0096,6
b0097,6
b0098,6
b0099,6
b0101,6
b0102,6
b0106,7
b0107,7
b0108,7
b0109,7
b0110,7
b0111,7
b0112,7
b0113,7
b0114,7
b0115,7
b0116,7
b0118,8
b0119,8
b0120,8
b0121,8
b0122,8
b0123,8
b0124,8
b0125,8
b0126,8
b0127,8
b0128,8
b0129,8
b0130,8
b0131,8
b0132,8
b0133,8
b0134,8
b0135,8
b0136,8
b0137,8
b0138,8
b0139,8
b0140,8
b0141,8
b0142,8
b0143,8
b0147,9
b0148,9
b0149,9
b0150,9
b0151,9
b0152,9
b0153,9
b0154,9
b4765,9
b0155,9
b4728,9
b0156,9
b0157,9
b0158,9
b0161,10
b0162,10
b0163,10
b0164,10
b0166,10
b0167,10
b0168,10
b0171,11
b0172,11
b0173,11
b0174,11
b0175,11
b0176,11
b0177,11
b0178,11
b0179,11
b0180,11
b0181,11
b0182,11
b0183,11
b0184,11
b0185,11
b0186,11
b0187,11
b0188,11
b0189,11
b4406,11
b0190,11
b0191,11
b0192,11
b0193,11
b0194,11
b0195,11
b0196,11
b0197,11
b0198,11
b0199,11
b0200,11
b0207,11
b0208,11
b0209,11
b0210,11
b0211,11
b0212,11
b0213,11
b0214,11
b0215,11
b0219,12
b0220,12
b0221,12
b0222,12
b0223,12
b0224,12
b0225,12
b0226,12
b0227,12
b0228,12
b0231,12
b0232,12
b0233,12
b0237,13
b0238,13
b0239,13
b4710,13
b4709,13
b0241,13
b0242,13
b0245,14
b0246,14
b4504,14
b0247,14
b0248,14
b0249,14
b0250,14
b0251,14
b0252,14
b0253,14
b0254,14
b0256,14
b0259,15
b0260,15
b0261,15
b0262,15
b0264,15
b0265,15
b0266,15
b0267,15
b0268,15
b0269,15
b0270,15
b0271,15
b0272,15
b0273,15
b4766,15
b4688,15
b0274,15
b0275,15
b0276,15
b0277,15
b0278,15
b0279,15
b4729,15
b0280,15
b0281,15
b0282,15
b0283,15
b0284,15
b0285,15
b0286,15
b0287,15
b0288,15
b0289,15
b0290,15
b0291,15
b0292,15
b0293,15
b0294,15
b0295,15
b4506,15
b0296,15
b4671,15
b0298,15
b0299,15
b0301,15
b0303,15
b0305,16
b0306,16
b0307,16
b0308,16
b0310,16
b0311,16
b0312,16
b0313,16
b0314,16
b4730,16
b0315,16
b0316,16
b0317,16
b0318,16
b0319,16
b0320,16
b0321,16
b0322,16
b0323,16
b0324,16
b0326,17
b0327,17
b0328,17
b0329,17
b0330,17
b0331,17
b0333,17
b0334,17
b0335,17
b0336,17
b0337,17
b0338,17
b0339,17
b0340,17
b0341,17
b0342,17
b0343,17
b0345,18
b0346,18
b0347,18
b0348,18
b0349,18
b0350,18
b0351,18
b0352,18
b0353,18
b0354,18
b0355,18
b0356,18
b0357,18
b0358,18
b0360,18
b0361,18
b0363,18
b4731,18
b0364,18
b0365,18
b0366,18
b0367,18
b0368,18
b0369,18
b4767,18
b0372,18
b0373,18
b0375,19
b0376,19
b0377,19
b0378,19
b0379,19
b0380,19
b0381,19
b0382,19
b0383,19
b0384,19
b0387,20
b0388,20
b0389,20
b0390,20
b0391,20
b4732,20
b0393,20
b0394,20
b0396,20
b0397,20
b0398,20
b0399,20
b0400,20
b0403,21
b0404,21
b0405,21
b0406,21
b0407,21
b0408,21
b0409,21
b0410,21
b0411,21
b0412,21
b0413,21
b0414,21
b0415,21
b0416,21
b0417,21
b0418,21
b0419,21
b0420,21
b0421,21
b0422,21
b0423,21
b0424,21
b0425,21
b0426,21
b0427,21
b0430,22
b0431,22
b0432,22
b0433,22
b0434,22
b0435,22
b0436,22
b0437,22
b0438,22
b0001,23
b0002,23
b0003,23
b0440,23
b0441,23
b0442,23
b0443,23
b0444,23
b0445,23
b0446,23
b0447,23
b0448,23
b0449,23
b0450,23
b0451,23
b0452,23
b0453,23
b0454,23
b0456,23
b0457,23
b0458,23
b0459,23
b0460,23
b0461,23
b0462,23
b0463,23
b0464,23
b0465,23
b0466,23
b0467,23
b0468,23
b0469,23
b0470,23
b0471,23
b0472,23
b0473,23
b0474,23
b0475,23
b0476,23
b0477,23
b0478,23
b0479,23
b0480,23
b0481,23
b0482,23
b0483,23
b0484,23
b0485,23
b0486,23
b0487,23
b0488,23
b0489,23
b0490,23
b0491,23
b0492,23
b0493,23
b0494,23
b0495,23
b0496,23
b0497,23
b0498,23
b0502,23
b0503,23
b0504,23
b0505,23
b0506,23
b0507,23
b0508,23
b0509,23
b0511,23
b0512,23
b0513,23
b0514,23
b0515,23
b0516,23
