gene,cid
B9H01_00190,1
B9H01_00195,1
B9H01_00200,1
B9H01_00205,1
B9H01_00210,1
B9H01_00215,1
B9H01_00220,1
B9H01_00225,1
B9H01_00230,1
B9H01_00240,2
B9H01_00245,2
B9H01_00250,2
B9H01_00255,2
B9H01_00260,2
B9H01_00265,2
B9H01_00270,2
B9H01_00285,3
B9H01_00290,3
B9H01_00295,3
B9H01_00300,3
B9H01_00305,3
B9H01_00310,3
B9H01_00315,3
B9H01_00320,3
B9H01_00325,3
B9H01_00330,3
B9H01_00335,3
B9H01_00350,4
B9H01_00355,4
B9H01_00360,4
B9H01_00365,4
B9H01_00370,4
B9H01_00375,4
B9H01_00380,4
B9H01_00385,4
B9H01_00390,4
B9H01_00395,4
B9H01_00400,4
B9H01_00405,4
B9H01_00410,4
B9H01_00415,4
B9H01_00420,4
B9H01_00425,4
B9H01_00430,4
B9H01_00435,4
B9H01_00440,4
B9H01_00445,4
B9H01_00450,4
B9H01_00455,4
B9H01_00460,4
B9H01_00465,4
B9H01_00470,4
B9H01_00475,4
B9H01_00480,4
B9H01_00485,4
B9H01_00490,4
B9H01_00495,4
B9H01_00500,4
B9H01_00505,4
B9H01_00510,4
B9H01_00515,4
B9H01_00520,4
B9H01_00525,4
B9H01_00530,4
B9H01_00535,4
B9H01_00540,4
B9H01_00545,4
B9H01_00560,5
B9H01_00565,5
B9H01_00570,5
B9H01_00575,5
B9H01_00580,5
B9H01_00585,5
B9H01_00590,5
B9H01_00595,5
B9H01_00680,5
B9H01_00685,5
B9H01_00690,5
B9H01_00695,5
B9H01_00700,5
B9H01_00705,5
B9H01_00710,5
B9H01_00715,5
B9H01_00720,5
B9H01_00725,5
B9H01_00745,6
B9H01_00750,6
B9H01_00755,6
B9H01_00760,6
B9H01_00765,6
B9H01_00770,6
B9H01_00775,6
B9H01_00780,6
B9H01_00790,7
B9H01_00795,7
B9H01_00800,7
B9H01_00805,7
B9H01_00810,7
B9H01_00815,7
B9H01_00820,7
B9H01_00825,7
B9H01_00830,7
B9H01_00835,7
B9H01_00840,7
B9H01_00845,7
B9H01_00850,7
B9H01_00855,7
B9H01_00860,7
B9H01_00865,7
B9H01_00885,8
B9H01_00890,8
B9H01_00895,8
B9H01_00900,8
B9H01_00905,8
B9H01_00910,8
B9H01_00915,8
B9H01_00920,8
B9H01_00925,8
B9H01_00930,8
B9H01_00935,8
B9H01_00940,8
B9H01_00945,8
B9H01_00950,8
B9H01_00955,8
B9H01_00960,8
B9H01_00965,8
B9H01_00970,8
B9H01_00975,8
B9H01_00980,8
B9H01_00985,8
B9H01_00990,8
B9H01_00995,8
B9H01_01015,9
B9H01_01020,9
B9H01_01025,9
B9H01_01040,10
B9H01_01045,10
B9H01_01050,10
B9H01_01055,10
B9H01_01060,10
B9H01_01065,10
B9H01_01070,10
B9H01_01075,10
B9H01_01080,10
B9H01_01085,10
B9H01_01090,10
B9H01_01095,10
B9H01_01100,10
B9H01_01105,10
B9H01_01110,10
B9H01_01115,10
B9H01_01120,10
B9H01_01125,10
B9H01_01130,10
B9H01_01135,10
B9H01_01140,10
B9H01_01145,10
B9H01_01150,10
B9H01_01155,10
B9H01_01160,10
B9H01_01165,10
B9H01_01170,10
B9H01_00005,11
B9H01_00010,11
B9H01_00015,11
B9H01_00020,11
B9H01_00025,11
B9H01_00030,11
B9H01_00035,11
B9H01_00040,11
B9H01_00045,11
B9H01_00050,11
B9H01_00055,11
B9H01_00060,11
B9H01_00065,11
B9H01_00070,11
B9H01_00075,11
B9H01_00080,11
B9H01_00085,11
B9H01_01180,11
B9H01_01185,11
B9H01_01190,11
B9H01_01195,11
B9H01_01200,11
B9H01_01205,11
B9H01_01210,11
B9H01_01215,11
B9H01_01220,11
B9H01_01225,11
B9H01_01230,11
B9H01_01235,11
B9H01_01240,11
B9H01_01245,11
B9H01_01250,11
B9H01_01255,11
B9H01_01260,11
B9H01_01265,11
B9H01_01270,11
B9H01_01275,11
B9H01_01280,11
B9H01_01285,11
B9H01_01290,11
B9H01_01295,11
B9H01_01300,11
B9H01_01305,11
B9H01_01310,11
B9H01_01315,11
B9H01_01320,11
B9H01_01325,11
B9H01_01330,11
B9H01_01335,11
B9H01_01340,11
B9H01_01345,11
B9H01_01350,11
B9H01_01355,11
B9H01_01360,11
B9H01_01365,11
B9H01_01370,11
B9H01_01375,11
B9H01_01380,11
B9H01_01385,11
B9H01_01390,11
B9H01_01395,11
B9H01_01400,11
B9H01_01405,11
B9H01_01410,11
B9H01_01415,11
B9H01_01420,11
B9H01_01425,11
B9H01_01430,11
B9H01_01435,11
B9H01_01440,11
B9H01_01445,11
B9H01_01450,11
B9H01_01455,11
B9H01_01460,11
B9H01_01465,11
B9H01_01470,11
B9H01_01475,11
B9H01_01480,11
B9H01_01485,11
B9H01_01490,11
B9H01_01495,11
B9H01_01500,11
B9H01_01505,11
B9H01_01510,11
B9H01_01515,11
B9H01_01520,11
B9H01_01525,11
B9H01_01530,11
B9H01_01535,11
B9H01_01540,11
B9H01_01545,11
B9H01_01550,11
B9H01_01555,11
B9H01_01560,11
B9H01_01565,11
B9H01_01570,11
B9H01_01575,11
B9H01_01580,11
B9H01_01585,11
B9H01_01590,11
B9H01_01595,11
B9H01_01600,11
B9H01_01605,11
B9H01_01610,11
