node1,node2,interaction,distance,Log2(interaction + 1),p_value
B9H01_00295,B9H01_07370,65.2899,682820.0,6.050717171410747,0.005
B9H01_00295,B9H01_07375,65.2899,682147.0,6.050717171410747,0.005
B9H01_00295,B9H01_07380,65.2899,681399.0,6.050717171410747,0.005
B9H01_00300,B9H01_07370,65.2899,683558.0,6.050717171410747,0.005
B9H01_00300,B9H01_07375,65.2899,682885.0,6.050717171410747,0.005
B9H01_00300,B9H01_07380,65.2899,682137.0,6.050717171410747,0.005
B9H01_08360,B9H01_08370,65.2928,645.0,6.05078028395287,0.005
B9H01_08360,B9H01_08375,65.2928,1576.0,6.05078028395287,0.005
B9H01_04760,B9H01_05390,65.3087,127923.0,6.051126265729246,0.005
B9H01_04760,B9H01_05395,65.3087,128216.0,6.051126265729246,0.005
B9H01_07710,B9H01_08510,65.3357,145342.0,6.051713591943424,0.005
B9H01_01285,B9H01_01300,65.3376,2157.0,6.051754913303153,0.005
B9H01_02795,B9H01_02855,65.3378,12513.0,6.05175926285112,0.005
B9H01_10280,B9H01_10315,65.339,5954.0,6.051785359863547,0.005
B9H01_08775,B9H01_08780,65.3623,63.0,6.052291983307298,0.005
B9H01_03600,B9H01_03615,65.3706,2345.0,6.052472411352718,0.005
B9H01_08510,B9H01_09920,65.3827,296235.0,6.0527354045896935,0.005
B9H01_10325,B9H01_10390,65.3892,12896.0,6.052876662156593,0.005
B9H01_10325,B9H01_10395,65.3892,13347.0,6.052876662156593,0.005
B9H01_00075,B9H01_00200,65.3944,9365.0,6.052989658252744,0.005
B9H01_01065,B9H01_06475,65.4039,988208.0,6.053196070577477,0.005
B9H01_02975,B9H01_03005,65.4052,2358.0,6.05322431417755,0.005
B9H01_02980,B9H01_03005,65.4052,1687.0,6.05322431417755,0.005
B9H01_02985,B9H01_03005,65.4052,1391.0,6.05322431417755,0.005
B9H01_05265,B9H01_05500,65.4105,35449.0,6.05333945544053,0.005
B9H01_05270,B9H01_05500,65.4105,33921.0,6.05333945544053,0.005
B9H01_04125,B9H01_06970,65.4144,566630.0,6.0534241761617364,0.005
B9H01_04125,B9H01_06975,65.4144,567451.0,6.0534241761617364,0.005
B9H01_04125,B9H01_06980,65.4144,567807.0,6.0534241761617364,0.005
B9H01_00065,B9H01_02860,65.4154,542955.0,6.053445898622222,0.005
B9H01_00065,B9H01_02865,65.4154,544369.0,6.053445898622222,0.005
B9H01_01395,B9H01_08585,65.4229,665505.0,6.05360880665128,0.005
B9H01_01400,B9H01_08585,65.4229,665860.0,6.05360880665128,0.005
B9H01_06995,B9H01_07370,65.4265,68033.0,6.053686995971645,0.005
B9H01_06995,B9H01_07375,65.4265,68373.0,6.053686995971645,0.005
B9H01_06995,B9H01_07380,65.4265,68950.0,6.053686995971645,0.005
B9H01_09335,B9H01_09345,65.439,932.0,6.05395845377016,0.005
B9H01_09335,B9H01_09350,65.439,1777.0,6.05395845377016,0.005
B9H01_06100,B9H01_06120,65.4395,3127.0,6.05396931101976,0.005
B9H01_02800,B9H01_02830,65.4406,4838.0,6.05399319668127,0.005
B9H01_00555,B9H01_06660,65.4539,850867.0,6.054281964750797,0.005
B9H01_01850,B9H01_02060,65.4656,44994.0,6.054535946025508,0.005
B9H01_01850,B9H01_02065,65.4656,45677.0,6.054535946025508,0.005
B9H01_00775,B9H01_00780,65.4658,445.0,6.054540287197092,0.005
B9H01_10300,B9H01_10450,65.4664,29986.0,6.054553310633469,0.005
B9H01_10305,B9H01_10450,65.4664,29065.0,6.054553310633469,0.005
B9H01_00015,B9H01_10295,65.4709,51659.0,6.0546509826591,0.005
B9H01_00020,B9H01_10420,65.4824,26482.0,6.05490055890898,0.005
B9H01_00025,B9H01_10420,65.4824,26789.0,6.05490055890898,0.005
B9H01_01615,B9H01_01650,65.4837,4215.0,6.054928769160363,0.005
B9H01_01620,B9H01_01650,65.4837,3464.0,6.054928769160363,0.005
B9H01_01625,B9H01_01650,65.4837,2989.0,6.054928769160363,0.005
B9H01_03615,B9H01_03770,65.4912,36290.0,6.055091509840269,0.005
B9H01_01915,B9H01_06920,65.4959,1018309.0,6.055193484643764,0.005
B9H01_01915,B9H01_06925,65.4959,1019426.0,6.055193484643764,0.005
B9H01_02485,B9H01_06225,65.5025,746135.0,6.055336671137401,0.005
B9H01_02520,B9H01_07020,65.5186,911715.0,6.055685899797693,0.005
B9H01_02525,B9H01_07020,65.5186,911310.0,6.055685899797693,0.005
B9H01_02530,B9H01_07020,65.5186,910920.0,6.055685899797693,0.005
B9H01_02535,B9H01_07020,65.5186,910125.0,6.055685899797693,0.005
B9H01_03815,B9H01_06730,65.5207,584198.0,6.05573144513033,0.005
B9H01_03815,B9H01_06735,65.5207,584793.0,6.05573144513033,0.005
B9H01_04775,B9H01_05085,65.5294,68276.0,6.055920117620972,0.005
B9H01_04775,B9H01_05090,65.5294,68625.0,6.055920117620972,0.005
B9H01_05180,B9H01_05210,65.5334,4169.0,6.056006855314231,0.005
B9H01_05180,B9H01_05215,65.5334,5286.0,6.056006855314231,0.005
B9H01_05535,B9H01_05550,65.5345,890.0,6.056030707265679,0.005
B9H01_05535,B9H01_05555,65.5345,1711.0,6.056030707265679,0.005
B9H01_05535,B9H01_05560,65.5345,2442.0,6.056030707265679,0.005
B9H01_05540,B9H01_05550,65.5345,351.0,6.056030707265679,0.005
B9H01_05540,B9H01_05555,65.5345,1172.0,6.056030707265679,0.005
B9H01_05540,B9H01_05560,65.5345,1903.0,6.056030707265679,0.005
B9H01_05545,B9H01_05555,65.5345,813.0,6.056030707265679,0.005
B9H01_05545,B9H01_05560,65.5345,1544.0,6.056030707265679,0.005
B9H01_10155,B9H01_10195,65.5353,3302.0,6.056048053891776,0.005
B9H01_00820,B9H01_01555,65.5379,167956.0,6.0561044289861865,0.005
B9H01_00820,B9H01_01560,65.5379,168564.0,6.0561044289861865,0.005
B9H01_00825,B9H01_01555,65.5379,167535.0,6.0561044289861865,0.005
B9H01_00825,B9H01_01560,65.5379,168143.0,6.0561044289861865,0.005
B9H01_00830,B9H01_01555,65.5379,167147.0,6.0561044289861865,0.005
B9H01_00830,B9H01_01560,65.5379,167755.0,6.0561044289861865,0.005
B9H01_00945,B9H01_01850,65.5544,200289.0,6.056462142667544,0.005
B9H01_06255,B9H01_06280,65.5555,3235.0,6.056485987093015,0.005
B9H01_01850,B9H01_07165,65.5566,1020873.0,6.0565098311244,0.005
B9H01_01850,B9H01_07170,65.5566,1019932.0,6.0565098311244,0.005
B9H01_08090,B9H01_08100,65.5656,837.0,6.056704903852881,0.005
B9H01_08090,B9H01_08105,65.5656,1873.0,6.056704903852881,0.005
B9H01_08090,B9H01_08110,65.5656,2351.0,6.056704903852881,0.005
B9H01_00005,B9H01_10490,65.566,8558.0,6.056713573139758,0.005
B9H01_00010,B9H01_10490,65.566,10085.0,6.056713573139758,0.005
B9H01_03390,B9H01_03465,65.5802,18104.0,6.057021299077987,0.005
B9H01_04290,B9H01_04330,65.5947,6770.0,6.057335458550614,0.005
B9H01_06475,B9H01_06650,65.595,37038.0,6.057341957679484,0.005
B9H01_03550,B9H01_08425,65.5999,954638.0,6.057448105973504,0.005
B9H01_03550,B9H01_08430,65.5999,955733.0,6.057448105973504,0.005
B9H01_03550,B9H01_08435,65.5999,956067.0,6.057448105973504,0.005
B9H01_09550,B9H01_09565,65.6105,2015.0,6.057677706176876,0.005
B9H01_00780,B9H01_00785,65.6223,177.0,6.057933255884261,0.005
B9H01_08785,B9H01_09020,65.6396,46957.0,6.0583078359307345,0.005
B9H01_03135,B9H01_03465,65.644,70710.0,6.0584030893329865,0.005
B9H01_07650,B9H01_07685,65.6509,2885.0,6.058552451323446,0.005
B9H01_07655,B9H01_07685,65.6509,2712.0,6.058552451323446,0.005
B9H01_07660,B9H01_07685,65.6509,1898.0,6.058552451323446,0.005
B9H01_07220,B9H01_07250,65.6516,3339.0,6.05856760312523,0.005
B9H01_07220,B9H01_07255,65.6516,3798.0,6.05856760312523,0.005
B9H01_07220,B9H01_07260,65.6516,4018.0,6.05856760312523,0.005
B9H01_06260,B9H01_06285,65.6627,3334.0,6.058807846144783,0.005
B9H01_05520,B9H01_05550,65.6672,4234.0,6.05890523056773,0.005
B9H01_05520,B9H01_05555,65.6672,5055.0,6.05890523056773,0.005
B9H01_05520,B9H01_05560,65.6672,5786.0,6.05890523056773,0.005
B9H01_05525,B9H01_05550,65.6672,3778.0,6.05890523056773,0.005
B9H01_05525,B9H01_05555,65.6672,4599.0,6.05890523056773,0.005
B9H01_05525,B9H01_05560,65.6672,5330.0,6.05890523056773,0.005
B9H01_05530,B9H01_05550,65.6672,2483.0,6.05890523056773,0.005
B9H01_05530,B9H01_05555,65.6672,3304.0,6.05890523056773,0.005
B9H01_05530,B9H01_05560,65.6672,4035.0,6.05890523056773,0.005
B9H01_08425,B9H01_08520,65.6747,16811.0,6.059067523332691,0.005
B9H01_08425,B9H01_08525,65.6747,17697.0,6.059067523332691,0.005
B9H01_08425,B9H01_08530,65.6747,18390.0,6.059067523332691,0.005
B9H01_08430,B9H01_08520,65.6747,16454.0,6.059067523332691,0.005
B9H01_08430,B9H01_08525,65.6747,17340.0,6.059067523332691,0.005
B9H01_08430,B9H01_08530,65.6747,18033.0,6.059067523332691,0.005
B9H01_08435,B9H01_08520,65.6747,16117.0,6.059067523332691,0.005
B9H01_08435,B9H01_08525,65.6747,17003.0,6.059067523332691,0.005
B9H01_08435,B9H01_08530,65.6747,17696.0,6.059067523332691,0.005
B9H01_04175,B9H01_04205,65.6852,3595.0,6.0592947025366435,0.005
B9H01_04180,B9H01_04205,65.6852,2995.0,6.0592947025366435,0.005
B9H01_04185,B9H01_04205,65.6852,2136.0,6.0592947025366435,0.005
B9H01_01180,B9H01_07370,65.6861,839874.0,6.059314173375375,0.005
B9H01_01180,B9H01_07375,65.6861,839201.0,6.059314173375375,0.005
B9H01_01180,B9H01_07380,65.6861,838453.0,6.059314173375375,0.005
B9H01_00805,B9H01_00895,65.6927,12161.0,6.0594569514972,0.005
B9H01_08990,B9H01_10255,65.6947,267323.0,6.059500214805158,0.005
B9H01_08990,B9H01_10260,65.6947,268795.0,6.059500214805158,0.005
B9H01_02700,B9H01_02730,65.6975,4578.0,6.059560781256796,0.005
B9H01_00020,B9H01_00215,65.6985,24723.0,6.059582411516188,0.005
B9H01_00025,B9H01_00215,65.6985,24260.0,6.059582411516188,0.005
