node1,node2,interaction,distance,Log2(interaction + 1),p_value
B9H01_02995,B9H01_03050,66.1501,10650.0,6.069317643004662,0.005
B9H01_03000,B9H01_03050,66.1501,10307.0,6.069317643004662,0.005
B9H01_00910,B9H01_00915,66.1544,556.0,6.069410023955083,0.005
B9H01_02070,B9H01_02090,66.1653,3569.0,6.069644172422958,0.005
B9H01_02345,B9H01_08560,66.1797,864050.0,6.069953447925111,0.005
B9H01_05220,B9H01_05290,66.1807,13300.0,6.069974922928772,0.005
B9H01_05225,B9H01_05290,66.1807,12527.0,6.069974922928772,0.005
B9H01_05230,B9H01_05290,66.1807,11831.0,6.069974922928772,0.005
B9H01_02285,B9H01_02315,66.1823,3742.0,6.070009282269744,0.005
B9H01_02285,B9H01_02320,66.1823,4370.0,6.070009282269744,0.005
B9H01_05350,B9H01_05380,66.1896,4430.0,6.0701660363799235,0.005
B9H01_05355,B9H01_05380,66.1896,3643.0,6.0701660363799235,0.005
B9H01_05360,B9H01_05380,66.1896,2828.0,6.0701660363799235,0.005
B9H01_02335,B9H01_06250,66.1912,788644.0,6.070200391169679,0.005
B9H01_05550,B9H01_07775,66.1931,437881.0,6.070241186419985,0.005
B9H01_05550,B9H01_07780,66.1931,437990.0,6.070241186419985,0.005
B9H01_05550,B9H01_07785,66.1931,438821.0,6.070241186419985,0.005
B9H01_05555,B9H01_07775,66.1931,437309.0,6.070241186419985,0.005
B9H01_05555,B9H01_07780,66.1931,437418.0,6.070241186419985,0.005
B9H01_05555,B9H01_07785,66.1931,438249.0,6.070241186419985,0.005
B9H01_05560,B9H01_07775,66.1931,436659.0,6.070241186419985,0.005
B9H01_05560,B9H01_07780,66.1931,436768.0,6.070241186419985,0.005
B9H01_05560,B9H01_07785,66.1931,437599.0,6.070241186419985,0.005
B9H01_05435,B9H01_05475,66.1933,4618.0,6.0702454805897545,0.005
B9H01_05440,B9H01_05475,66.1933,4372.0,6.0702454805897545,0.005
B9H01_07080,B9H01_07630,66.1969,97309.0,6.070322773460045,0.005
B9H01_05610,B9H01_05700,66.2212,16946.0,6.070844392049737,0.005
B9H01_05610,B9H01_05705,66.2212,17470.0,6.070844392049737,0.005
B9H01_05610,B9H01_05710,66.2212,18223.0,6.070844392049737,0.005
B9H01_06520,B9H01_06535,66.2296,1747.0,6.07102466079279,0.005
B9H01_06525,B9H01_06535,66.2296,1238.0,6.07102466079279,0.005
B9H01_05240,B9H01_05290,66.2396,10292.0,6.071239237073982,0.005
B9H01_09490,B9H01_09505,66.24,951.0,6.071247819461442,0.005
