gene,cid
VC_A0042,1
VC_A0043,1
VC_A0044,1
VC_A0045,1
VC_A0046,1
VC_A0047,1
VC_A0048,1
VC_A0049,1
VC_A0050,1
VC_A0051,1
VC_A0052,1
VC_A0053,1
VC_A0054,1
VC_A0055,1
VC_A0056,1
VC_A0057,1
VC_A0058,1
VC_A0059,1
VC_A0060,1
VC_A0061,1
VC_A0062,1
VC_A0063,1
VC_A0064,1
VC_A0065,1
VC_A0066,1
VC_A0067,1
VC_A0068,1
VC_A0069,1
VC_A0070,1
VC_A0071,1
VC_A0072,1
VC_A0073,1
VC_A0074,1
VC_A0075,1
VC_A0076,1
VC_A0077,1
VC_A0078,1
VC_A0079,1
VC_A0080,1
VC_A0081,1
VC_A0082,1
VC_A0083,1
VC_A0084,1
VC_A0085,1
VC_A0086,1
VC_A0087,1
VC_A0088,1
VC_A0089,1
VC_A0090,1
VC_A0091,1
VC_A0092,1
VC_A0093,1
VC_A0094,1
VC_A0095,1
VC_A0096,1
VC_A0097,1
VC_A0098,1
VC_A0099,1
VC_A0100,1
VC_A0101,1
VC_A0102,1
VC_A0103,1
VC_A0104,1
VC_A0105,1
VC_A0106,1
VC_A0107,1
VC_A0108,1
VC_A0109,1
VC_A0110,1
VC_A0111,1
VC_A0112,1
VC_A0113,1
VC_A0114,1
VC_A0115,1
VC_A0116,1
VC_A0117,1
VC_A0118,1
VC_A0119,1
VC_A0120,1
VC_A0121,1
VC_A0122,1
VC_A0123,1
VC_A0124,1
VC_A0125,1
VC_A0126,1
VC_A0127,1
VC_A0128,1
VC_A0129,1
VC_A0130,1
VC_A0131,1
VC_A0132,1
VC_A0134,1
VC_A0135,1
VC_A0136,1
VC_A0137,1
VC_A0138,1
VC_A0139,1
VC_A0140,1
VC_A0141,1
VC_A0142,1
VC_A0143,1
VC_A0144,1
VC_A0145,1
VC_A0146,1
VC_A0147,1
VC_A0148,1
VC_A0149,1
VC_A0150,1
VC_A0151,1
VC_A0152,1
VC_A0153,1
VC_A0154,1
VC_A0155,1
VC_A0156,1
VC_A0157,1
VC_A0158,1
VC_A0159,1
VC_A0160,1
VC_A0161,1
VC_A0162,1
VC_A0163,1
VC_A0164,1
VC_A0165,1
VC_A0166,1
VC_A0167,1
VC_A0168,1
VC_A0169,1
VC_A0170,1
VC_A0171,1
VC_A0172,1
VC_A0173,1
VC_A0174,1
VC_A0175,1
VC_A0176,1
VC_A0177,1
VC_A0178,1
VC_A0179,1
VC_A0180,1
VC_A0181,1
VC_A0182,1
VC_A0183,1
VC_A0184,1
VC_A0185,1
VC_A0186,1
VC_A0187,1
VC_A0188,1
VC_A0189,1
VC_A0190,1
VC_A0191,1
VC_A0192,1
VC_A0193,1
VC_A0194,1
VC_A0195,1
VC_A0196,1
VC_A0197,1
VC_A0198,1
VC_A0199,1
VC_A0200,1
VC_A0201,1
VC_A0202,1
VC_A0204,1
VC_A0205,1
VC_A0206,1
VC_A0207,1
VC_A0208,1
VC_A0209,1
VC_A0210,1
VC_A0211,1
VC_A0212,1
VC_A0213,1
VC_A0214,1
VC_A0215,1
VC_A0216,1
VC_A0217,1
VC_A0218,1
VC_A0219,1
VC_A0220,1
VC_A0221,1
VC_A0222,1
VC_A0223,1
VC_A0224,1
VC_A0225,1
VC_A0226,1
VC_A0227,1
VC_A0239,2
VC_A0240,2
VC_A0241,2
VC_A0242,2
VC_A0243,2
VC_A0244,2
VC_A0245,2
VC_A0246,2
VC_A0247,2
VC_A0248,2
VC_A0249,2
VC_A0250,2
VC_A0251,2
VC_A0252,2
VC_A0253,2
VC_A0254,2
VC_A0255,2
VC_A0256,2
VC_A0257,2
VC_A0258,2
VC_A0259,2
VC_A0260,2
VC_A0261,2
VC_A0262,2
VC_A0263,2
VC_A0264,2
VC_A0265,2
VC_A0266,2
VC_A0267,2
VC_A0268,2
VC_A0269,2
VC_A0270,2
VC_A0271,2
VC_A0272,2
VC_A0273,2
VC_A0274,2
VC_A0275,2
VC_A0277,2
VC_A0278,2
VC_A0279,2
VC_A0281,2
VC_A0282,2
VC_A0283,2
VC_A0284,2
VC_A0285,2
VC_A0286,2
VC_A0287,2
VC_A0289,2
VC_A0290,2
VC_A0291,2
VC_A0292,2
VC_A0293,2
VC_A0294,2
VC_A0295,2
VC_A0296,2
VC_A0297,2
VC_A0298,2
VC_A0299,2
VC_A0300,2
VC_A0301,2
VC_A0302,2
VC_A0303,2
VC_A0304,2
VC_A0305,2
VC_A0306,2
VC_A0307,2
VC_A0308,2
VC_A0309,2
VC_A0310,2
VC_A0311,2
VC_A0312,2
VC_A0313,2
VC_A0314,2
VC_A0315,2
VC_A0316,2
VC_A0317,2
VC_A0318,2
VC_A0319,2
VC_A0320,2
VC_A0321,2
VC_A0322,2
VC_A0323,2
VC_A0324,2
VC_A0325,2
VC_A0326,2
VC_A0327,2
VC_A0328,2
VC_A0329,2
VC_A0330,2
VC_A0331,2
VC_A0332,2
VC_A0333,2
VC_A0334,2
VC_A0335,2
VC_A0336,2
VC_A0337,2
VC_A0338,2
VC_A0339,2
VC_A0340,2
VC_A0341,2
VC_A0342,2
VC_A0343,2
VC_A0344,2
VC_A0345,2
VC_A0346,2
VC_A0347,2
VC_A0348,2
VC_A0349,2
VC_A0350,2
VC_A0351,2
VC_A0352,2
VC_A0353,2
VC_A0354,2
VC_A0355,2
VC_A0356,2
VC_A0357,2
VC_A0359,2
VC_A0360,2
VC_A0361,2
VC_A0362,2
VC_A0363,2
VC_A0364,2
VC_A0365,2
VC_A0366,2
VC_A0367,2
VC_A0368,2
VC_A0370,2
VC_A0369,2
VC_A0371,2
VC_A0372,2
VC_A0373,2
VC_A0374,2
VC_A0375,2
VC_A0376,2
VC_A0377,2
VC_A0379,2
VC_A0380,2
VC_A0381,2
VC_A0382,2
VC_A0383,2
VC_A0384,2
VC_A0385,2
VC_A0386,2
VC_A0387,2
VC_A0388,2
VC_A0389,2
VC_A0390,2
VC_A0391,2
VC_A0392,2
VC_A0393,2
VC_A0394,2
VC_A0395,2
VC_A0396,2
VC_A0397,2
VC_A0398,2
VC_A0399,2
VC_A0400,2
VC_A0401,2
VC_A0402,2
VC_A0403,2
VC_A0404,2
VC_A0405,2
VC_A0406,2
VC_A0407,2
VC_A0408,2
VC_A0409,2
VC_A0410,2
VC_A0411,2
VC_A0412,2
VC_A0413,2
VC_A0414,2
VC_A0415,2
VC_A0416,2
VC_A0417,2
VC_A0418,2
VC_A0419,2
VC_A0420,2
VC_A0421,2
VC_A0422,2
VC_A0423,2
VC_A0424,2
VC_A0425,2
VC_A0426,2
VC_A0427,2
VC_A0428,2
VC_A0429,2
VC_A0430,2
VC_A0431,2
VC_A0432,2
VC_A0433,2
VC_A0434,2
VC_A0435,2
VC_A0436,2
VC_A0437,2
VC_A0438,2
VC_A0439,2
VC_A0440,2
VC_A0441,2
VC_A0442,2
VC_A0443,2
VC_A0444,2
VC_A0445,2
VC_A0446,2
VC_A0447,2
VC_A0448,2
VC_A0450,2
VC_A0451,2
VC_A0452,2
VC_A0453,2
VC_A0455,2
VC_A0456,2
VC_A0457,2
VC_A0458,2
VC_A0459,2
VC_A0460,2
VC_A0461,2
VC_A0462,2
VC_A0463,2
VC_A0464,2
VC_A0465,2
VC_A0466,2
VC_A0467,2
VC_A0468,2
VC_A0469,2
VC_A0470,2
VC_A0471,2
VC_A0472,2
VC_A0473,2
VC_A0474,2
VC_A0475,2
VC_A0476,2
VC_A0477,2
VC_A0478,2
VC_A0479,2
VC_A0480,2
VC_A0481,2
VC_A0482,2
VC_A0483,2
VC_A0484,2
VC_A0485,2
VC_A0486,2
VC_A0487,2
VC_A0488,2
VC_A0489,2
VC_A0490,2
VC_A0491,2
VC_A0493,2
VC_A0494,2
VC_A0495,2
VC_A0496,2
VC_A0497,2
VC_A0498,2
VC_A0499,2
VC_A0500,2
VC_A0501,2
VC_A0502,2
VC_A0503,2
VC_A0504,2
VC_A0505,2
VC_A0506,2
VC_A0507,2
VC_A0508,2
VC_A0509,2
VC_A0510,2
VC_A0511,2
VC_A0512,2
VC_A0513,2
VC_A0514,2
VC_A0515,2
VC_A0516,2
VC_A0517,2
VC_A0518,2
VC_A0519,2
VC_A0520,2
VC_A0521,2
VC_A0522,2
VC_A0523,2
VC_A0524,2
VC_A0525,2
VC_A0526,2
VC_A0527,2
VC_A0528,2
VC_A0529,2
VC_A0530,2
VC_A0531,2
VC_A0532,2
VC_A0533,2
VC_A0535,2
VC_A0536,2
VC_A0537,2
VC_A0538,2
VC_A0539,2
VC_A0540,2
VC_A0541,2
VC_A0542,2
VC_A0543,2
VC_A0544,2
VC_A0545,2
VC_A0546,2
VC_A0547,2
VC_A0548,2
VC_A0549,2
VC_A0550,2
VC_A0551,2
VC_A0552,2
VC_A0553,2
VC_A0554,2
VC_A0555,2
VC_A0556,2
VC_A0557,2
VC_A0558,2
VC_A0559,2
VC_A0560,2
VC_A0561,2
VC_A0562,2
VC_A0573,3
VC_A0574,3
VC_A0575,3
VC_A0576,3
VC_A0577,3
VC_A0578,3
VC_A0579,3
VC_A0580,3
VC_A0581,3
VC_A0582,3
VC_A0583,3
VC_A0584,3
VC_A0585,3
VC_A0586,3
VC_A0587,3
VC_A0588,3
VC_A0589,3
VC_A0590,3
VC_A0591,3
VC_A0592,3
VC_A0593,3
VC_A0594,3
VC_A0595,3
VC_A0597,3
VC_A0598,3
VC_A0599,3
VC_A0600,3
VC_A0601,3
VC_A0602,3
VC_A0603,3
VC_A0604,3
VC_A0605,3
VC_A0606,3
VC_A0607,3
VC_A0608,3
VC_A0609,3
VC_A0610,3
VC_A0611,3
VC_A0612,3
VC_A0613,3
VC_A0614,3
VC_A0615,3
VC_A0616,3
VC_A0617,3
VC_A0618,3
VC_A0619,3
VC_A0620,3
VC_A0621,3
VC_A0622,3
VC_A0623,3
VC_A0624,3
VC_A0625,3
VC_A0626,3
VC_A0627,3
VC_A0628,3
VC_A0629,3
VC_A0630,3
VC_A0631,3
VC_A0632,3
VC_A0633,3
VC_A0634,3
