node1,node2,interaction,distance,Log2(interaction + 1),p_value
b2738,b2740,20.9624,869.0,4.456963812204336,0.005
b2738,b2741,20.9624,2327.0,4.456963812204336,0.005
b1363,b1607,20.9679,256455.0,4.457325058212961,0.005
b1363,b1608,20.9679,256919.0,4.457325058212961,0.005
b2255,b2257,20.9747,886.0,4.457771564626161,0.005
b1162,b1311,20.9759,159162.0,4.457850345532429,0.005
b1162,b1312,20.9759,160030.0,4.457850345532429,0.005
b0832,b4516,20.9775,177031.0,4.457955380049278,0.005
b0832,b0988,20.9775,177225.0,4.457955380049278,0.005
b0832,b0989,20.9775,178161.0,4.457955380049278,0.005
b1233,b1283,20.9787,53977.0,4.458034150918894,0.005
b1236,b4771,20.9852,6148.0,4.458460751736115,0.005
b1237,b4771,20.9852,5591.0,4.458460751736115,0.005
b1069,b1159,20.993,80971.0,4.458972506261626,0.005
b1249,b1260,20.9942,7770.0,4.459051221617434,0.005
b4595,b1260,20.9942,7454.0,4.459051221617434,0.005
b1967,b2030,20.9957,65208.0,4.459149609772996,0.005
b1471,b1474,20.999,1686.0,4.459366040099551,0.005
b4745,b1504,21.0,57804.0,4.459431618637297,0.005
b1762,b1763,21.0036,127.0,4.45966767669431,0.005
b0168,b0173,21.0129,4014.0,4.460277314629172,0.005
b0140,b0288,21.0142,147651.0,4.4603625123166735,0.005
b0141,b0288,21.0142,146969.0,4.4603625123166735,0.005
b2061,b3045,21.0201,1050411.0,4.460749115523364,0.005
b4526,b1407,21.0255,57135.0,4.461102864967568,0.005
b1352,b1407,21.0255,56914.0,4.461102864967568,0.005
b4538,b2088,21.0285,91304.0,4.461299354963,0.005
b0254,b0281,21.0309,25513.0,4.46145652769352,0.005
b0256,b0281,21.0309,23941.0,4.46145652769352,0.005
b1904,b1925,21.0336,16757.0,4.4616333265504355,0.005
b1633,b1644,21.043,9105.0,4.462248679530926,0.005
b1040,b2108,21.0465,1084183.0,4.4624777332808545,0.005
b1041,b2108,21.0465,1082973.0,4.4624777332808545,0.005
b3334,b3338,21.047,1616.0,4.462510452276646,0.005
b0124,b0136,21.0495,9777.0,4.462674036125981,0.005
b2597,b2607,21.0519,7076.0,4.462831059172939,0.005
b2597,b2608,21.0519,7874.0,4.462831059172939,0.005
b2597,b2609,21.0519,8441.0,4.462831059172939,0.005
b2598,b2607,21.0519,6925.0,4.462831059172939,0.005
b2598,b2608,21.0519,7723.0,4.462831059172939,0.005
b2598,b2609,21.0519,8290.0,4.462831059172939,0.005
b2599,b2607,21.0519,5666.0,4.462831059172939,0.005
b2599,b2608,21.0519,6464.0,4.462831059172939,0.005
b2599,b2609,21.0519,7031.0,4.462831059172939,0.005
b3283,b3289,21.0537,3244.0,4.462948815243598,0.005
b3283,b3290,21.0537,4555.0,4.462948815243598,0.005
b3284,b3289,21.0537,2742.0,4.462948815243598,0.005
b3284,b3290,21.0537,4053.0,4.462948815243598,0.005
b3226,b3237,21.054,10213.0,4.462968440320955,0.005
b3226,b3238,21.054,11048.0,4.462968440320955,0.005
b0055,b3045,21.0582,1511600.0,4.463243163376711,0.005
b3213,b3216,21.0611,2190.0,4.4634328225791275,0.005
b0602,b0627,21.0639,22377.0,4.463615918153968,0.005
b0603,b0627,21.0639,21328.0,4.463615918153968,0.005
b1203,b1223,21.0678,20144.0,4.463870905415918,0.005
b2414,b2416,21.0692,685.0,4.463962428313167,0.005
b2414,b2417,21.0692,2453.0,4.463962428313167,0.005
b1494,b1505,21.0706,13650.0,4.464053945404677,0.005
b1442,b1471,21.072,29985.0,4.464145456691186,0.005
b1706,b2428,21.0736,754528.0,4.464250033911404,0.005
b0848,b0880,21.0753,31899.0,4.464361138902501,0.005
b0848,b4770,21.0753,32273.0,4.464361138902501,0.005
b0848,b0881,21.0753,32446.0,4.464361138902501,0.005
b0849,b0880,21.0753,31612.0,4.464361138902501,0.005
b0849,b4770,21.0753,31986.0,4.464361138902501,0.005
b0849,b0881,21.0753,32159.0,4.464361138902501,0.005
b0850,b0880,21.0753,31165.0,4.464361138902501,0.005
b0850,b4770,21.0753,31539.0,4.464361138902501,0.005
b0850,b0881,21.0753,31712.0,4.464361138902501,0.005
b0140,b4237,21.0759,336748.0,4.464400350385976,0.005
b0141,b4237,21.0759,337586.0,4.464400350385976,0.005
b4749,b1859,21.077,305160.0,4.464472235337827,0.005
b4724,b1859,21.077,304969.0,4.464472235337827,0.005
