node1,node2,interaction,distance,Log2(interaction + 1),p_value
VC_1371,VC_1428,49.476999,63970.0,5.657554235467007,0.01
VC_A0248,VC_A0282,49.514923,32275.0,5.658637743300482,0.01
VC_1409,VC_1976,49.54896,624646.0,5.659609505150625,0.01
VC_0545,VC_0844,49.557192,326452.0,5.6598444318166665,0.01
VC_1593,VC_1608,49.570457,16936.0,5.660222910897637,0.01
VC_2142,VC_2161,49.57269,11315.0,5.660286613444422,0.01
VC_2143,VC_2161,49.57269,9946.0,5.660286613444422,0.01
VC_1368,VC_1371,49.575436,2551.0,5.660364946889438,0.01
VC_1369,VC_1371,49.575436,1378.0,5.660364946889438,0.01
VC_A0656,VC_A0762,49.616198,112480.0,5.661527239385624,0.01
VC_A0404,VC_A0545,49.622697,104939.0,5.6617124661225136,0.01
VC_A0405,VC_A0545,49.622697,104042.0,5.6617124661225136,0.01
VC_0796,VC_0864,49.624486,74774.0,5.6617634498901985,0.01
VC_0796,VC_0865,49.624486,75401.0,5.6617634498901985,0.01
VC_0797,VC_0864,49.624486,74426.0,5.6617634498901985,0.01
VC_0797,VC_0865,49.624486,75053.0,5.6617634498901985,0.01
VC_0798,VC_0864,49.624486,73554.0,5.6617634498901985,0.01
VC_0798,VC_0865,49.624486,74181.0,5.6617634498901985,0.01
VC_2188,VC_2189,49.639616,148.0,5.662194559744529,0.01
VC_2008,VC_2030,49.680309,19009.0,5.663353415565939,0.01
VC_A0729,VC_A0970,49.682952,241691.0,5.663428650773574,0.01
VC_A0729,VC_A0971,49.682952,242517.0,5.663428650773574,0.01
VC_2033,VC_2039,49.684416,5738.0,5.663470323070718,0.01
VC_2033,VC_2040,49.684416,6824.0,5.663470323070718,0.01
VC_1405,VC_2176,49.685327,823605.0,5.663496253790149,0.01
VC_0342,VC_0346,49.701138,4345.0,5.66394622413829,0.01
VC_0234,VC_0250,49.733143,16819.0,5.664856635408735,0.01
VC_A1058,VC_A1098,49.76535,43453.0,5.665772213155124,0.01
VC_A0732,VC_A0760,49.778873,24957.0,5.666156470665338,0.01
VC_A0733,VC_A0760,49.778873,24764.0,5.666156470665338,0.01
VC_0522,VC_0546,49.784636,21989.0,5.666320195838117,0.01
VC_0523,VC_0546,49.784636,21314.0,5.666320195838117,0.01
VC_0524,VC_0546,49.784636,20772.0,5.666320195838117,0.01
VC_1308,VC_1642,49.812329,376236.0,5.66710668694554,0.01
VC_0081,VC_0082,49.838132,113.0,5.66783911571317,0.01
VC_0081,VC_0083,49.838132,1699.0,5.66783911571317,0.01
VC_2414,VC_2427,49.84351,13952.0,5.667991725639299,0.01
VC_2414,VC_2428,49.84351,14625.0,5.667991725639299,0.01
VC_1902,VC_1916,49.84775,13846.0,5.668112031494037,0.01
VC_1902,VC_1917,49.84775,14706.0,5.668112031494037,0.01
VC_0386,VC_1235,49.851794,907551.0,5.668226766693802,0.01
VC_0387,VC_1235,49.851794,907319.0,5.668226766693802,0.01
VC_0388,VC_1235,49.851794,907042.0,5.668226766693802,0.01
VC_1377,VC_1477,49.858571,111597.0,5.668419021324028,0.01
VC_1378,VC_1477,49.858571,111413.0,5.668419021324028,0.01
VC_1379,VC_1477,49.858571,110847.0,5.668419021324028,0.01
VC_0081,VC_2547,49.877158,309407.0,5.668946178760003,0.01
VC_0983,VC_0994,49.91751,12588.0,5.670089964274177,0.01
VC_0081,VC_0715,49.942668,688587.0,5.670802614169148,0.01
VC_0081,VC_0716,49.942668,689344.0,5.670802614169148,0.01
VC_0081,VC_0717,49.942668,689601.0,5.670802614169148,0.01
VC_A0309,VC_A0639,49.971473,253816.0,5.671618140480838,0.01
VC_A0310,VC_A0639,49.971473,253320.0,5.671618140480838,0.01
VC_0852,VC_1548,49.994345,741782.0,5.672265363681237,0.01
VC_2251,VC_2254,50.013129,3829.0,5.672796689139886,0.01
VC_1583,VC_1585,50.028839,669.0,5.673240913015918,0.01
VC_1584,VC_1585,50.028839,63.0,5.673240913015918,0.01
VC_0977,VC_1012,50.051278,37941.0,5.6738751723701455,0.01
VC_0977,VC_1013,50.051278,38635.0,5.6738751723701455,0.01
VC_0978,VC_1012,50.051278,37653.0,5.6738751723701455,0.01
VC_0978,VC_1013,50.051278,38347.0,5.6738751723701455,0.01
VC_A0056,VC_A1007,50.065577,176572.0,5.674279201587937,0.01
VC_A0376,VC_A0568,50.066212,145394.0,5.674297141376517,0.01
VC_A0376,VC_A0569,50.066212,146601.0,5.674297141376517,0.01
VC_A0377,VC_A0568,50.066212,145252.0,5.674297141376517,0.01
VC_A0377,VC_A0569,50.066212,146459.0,5.674297141376517,0.01
VC_1517,VC_1549,50.080172,29936.0,5.674691477859269,0.01
VC_1517,VC_1550,50.080172,31316.0,5.674691477859269,0.01
VC_1518,VC_1549,50.080172,29533.0,5.674691477859269,0.01
VC_1518,VC_1550,50.080172,30913.0,5.674691477859269,0.01
VC_1519,VC_1549,50.080172,28475.0,5.674691477859269,0.01
