node1,node2,interaction,distance,Log2(interaction + 1),p_value
VC_0271,VC_1067,71.687008,855174.0,6.183625616267889,0.005
VC_0272,VC_1067,71.687008,855001.0,6.183625616267889,0.005
VC_0273,VC_1067,71.687008,854530.0,6.183625616267889,0.005
VC_0274,VC_1067,71.687008,853795.0,6.183625616267889,0.005
VC_0296,VC_0510,71.692041,235169.0,6.183725508022494,0.005
VC_0296,VC_0511,71.692041,235854.0,6.183725508022494,0.005
VC_0770,VC_0812,71.698488,40987.0,6.183853453838479,0.005
VC_A0279,VC_A0503,71.763852,134410.0,6.185150013827816,0.005
VC_A0279,VC_A0504,71.763852,134685.0,6.185150013827816,0.005
VC_A0279,VC_A0505,71.763852,135085.0,6.185150013827816,0.005
VC_A0593,VC_A0605,71.76534,10467.0,6.185179516227869,0.005
VC_A0594,VC_A0605,71.76534,9976.0,6.185179516227869,0.005
VC_A0595,VC_A0605,71.76534,8941.0,6.185179516227869,0.005
VC_0497,VC_1733,71.839605,1341206.0,6.186651193669902,0.005
VC_0497,VC_1735,71.839605,1341469.0,6.186651193669902,0.005
VC_0497,VC_1736,71.839605,1342204.0,6.186651193669902,0.005
VC_0770,VC_0792,71.843428,22170.0,6.186726911796152,0.005
VC_1211,VC_1251,71.845387,34912.0,6.186765710101777,0.005
VC_0840,VC_1608,71.854417,819468.0,6.18694453719527,0.005
VC_1894,VC_2324,71.883349,435249.0,6.187517347587757,0.005
VC_1894,VC_2325,71.883349,436118.0,6.187517347587757,0.005
VC_1894,VC_2326,71.883349,436279.0,6.187517347587757,0.005
VC_1894,VC_2327,71.883349,436588.0,6.187517347587757,0.005
VC_1895,VC_2324,71.883349,434807.0,6.187517347587757,0.005
VC_1895,VC_2325,71.883349,435676.0,6.187517347587757,0.005
VC_1895,VC_2326,71.883349,435837.0,6.187517347587757,0.005
VC_1895,VC_2327,71.883349,436146.0,6.187517347587757,0.005
VC_1896,VC_2324,71.883349,433389.0,6.187517347587757,0.005
VC_1896,VC_2325,71.883349,434258.0,6.187517347587757,0.005
VC_1896,VC_2326,71.883349,434419.0,6.187517347587757,0.005
VC_1896,VC_2327,71.883349,434728.0,6.187517347587757,0.005
VC_A0248,VC_A0473,71.901622,148209.0,6.187879008552388,0.005
VC_A0301,VC_A0555,71.923859,175325.0,6.188319003121963,0.005
VC_2436,VC_2523,71.954772,96687.0,6.18893044336048,0.005
VC_0631,VC_0930,71.966554,320410.0,6.189163415928297,0.005
VC_0632,VC_0930,71.966554,318879.0,6.189163415928297,0.005
VC_0050,VC_0054,71.999723,1852.0,6.189819084533654,0.005
VC_0050,VC_0055,71.999723,2437.0,6.189819084533654,0.005
VC_1777,VC_1818,72.053419,30718.0,6.190879889598784,0.005
